
          s         kW        km/hr
          0.00      N/A       N/A       
          0.05      N/A       N/A       
          0.10      N/A       N/A       
          0.15      N/A       N/A       
          0.20      N/A       N/A       
          0.25      N/A       N/A       
          0.30      N/A       N/A       
          0.35      N/A       N/A       
          0.40      N/A       N/A       
          0.45      N/A       N/A       
          0.50      N/A       N/A       
          0.55      N/A       N/A       
          0.60      N/A       N/A       
          0.65      N/A       N/A       
          0.70      N/A       N/A       
          0.75      N/A       N/A       
          0.80      N/A       N/A       
          0.85      N/A       N/A       
          0.90      N/A       N/A       
          0.95      N/A       N/A       
          1.00      N/A       N/A       
          1.05      N/A       N/A       
          1.10      N/A       N/A       
          1.15      N/A       N/A       
          1.20      N/A       N/A       
          1.25      N/A       N/A       
          1.30      N/A       N/A       
          1.35      N/A       N/A       
          1.40      N/A       N/A       
          1.45      N/A       N/A       
          1.50      N/A       N/A       
          1.55      N/A       N/A       
          1.60      N/A       N/A       
          1.65      N/A       N/A       
          1.70      N/A       N/A       
          1.75      N/A       N/A       
          1.80      N/A       N/A       
          1.85      N/A       N/A       
          1.90      N/A       N/A       
          1.95      N/A       N/A       
          2.00      N/A       N/A       
          2.05      N/A       N/A       
          2.10      N/A       N/A       
          2.15      N/A       N/A       
          2.20      N/A       N/A       
          2.25      N/A       N/A       
          2.30      N/A       N/A       
          2.35      N/A       N/A       
          2.40      N/A       N/A       
          2.45      N/A       N/A       
          2.50      N/A       N/A       
          2.55      N/A       N/A       
          2.60      N/A       N/A       
          2.65      N/A       N/A       
          2.70      N/A       N/A       
          2.75      N/A       N/A       
          2.80      N/A       N/A       
          2.85      N/A       N/A       
          2.90      N/A       N/A       
          2.95      N/A       N/A       
          3.00      N/A       N/A       
          3.05      N/A       N/A       
          3.10      N/A       N/A       
          3.15      N/A       N/A       
          3.20      N/A       N/A       
          3.25      N/A       N/A       
          3.30      N/A       N/A       
          3.35      N/A       N/A       
          3.40      N/A       N/A       
          3.45      N/A       N/A       
          3.50      N/A       N/A       
          3.55      N/A       N/A       
          3.60      N/A       N/A       
          3.65      N/A       N/A       
          3.70      N/A       N/A       
          3.75      N/A       N/A       
          3.80      N/A       N/A       
          3.85      N/A       N/A       
          3.90      N/A       N/A       
          3.95      N/A       N/A       
          4.00      N/A       N/A       
          4.05      N/A       N/A       
          4.10      N/A       N/A       
          4.15      N/A       N/A       
          4.20      N/A       N/A       
          4.25      N/A       N/A       
          4.30      N/A       N/A       
          4.35      N/A       N/A       
          4.40      N/A       N/A       
          4.45      N/A       N/A       
          4.50      N/A       N/A       
          4.55      N/A       N/A       
          4.60      N/A       N/A       
          4.65      N/A       N/A       
          4.70      N/A       N/A       
          4.75      N/A       N/A       
          4.80      N/A       N/A       
          4.85      N/A       N/A       
          4.90      N/A       N/A       
          4.95      N/A       N/A       
          5.00      N/A       N/A       
          5.05      N/A       N/A       
          5.10      N/A       N/A       
          5.15      N/A       N/A       
          5.20      N/A       N/A       
          5.25      N/A       N/A       
          5.30      N/A       N/A       
          5.35      N/A       N/A       
          5.40      N/A       N/A       
          5.45      N/A       N/A       
          5.50      N/A       N/A       
          5.55      N/A       N/A       
          5.60      N/A       N/A       
          5.65      N/A       N/A       
          5.70      N/A       N/A       
          5.75      N/A       N/A       
          5.80      N/A       N/A       
          5.85      N/A       N/A       
          5.90      N/A       N/A       
          5.95      N/A       N/A       
          6.00      N/A       N/A       
          6.05      N/A       N/A       
          6.10      N/A       N/A       
          6.15      N/A       N/A       
          6.20      N/A       N/A       
